periódicos, scielo_url, publicador, status
"Anthropologica", "http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=0254-9212&lng=en", "Pontificia Universidad Católica del Perú. Departamento de Ciencias Sociales", "current"
"Antipoda. Revista de Antropología y Arqueología", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1900-5407&lng=en", "Departamento de Antropología, Facultad de Ciencias Sociales, Universidad de los Andes", "current"
"Antropología Social y Cultural del Uruguay", "http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=1510-3846&lng=en", "Universidad de la República - Facultad de Humanidades y Ciencias de la Educación -Instituto de Antropología", "deceased"
"Anuario Colombiano de Historia Social y de la Cultura", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-2456&lng=en", "Universidad Nacional de Colombia, Facultad de Ciencias Humanas, Departamento de Historia.", "current"
"Anuario de Estudios Centroamericanos", "http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=2215-4175&lng=en", "Universidad de Costa Rica", "current"
"Anuario de Historia Regional y de las Fronteras", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0122-2066&lng=en", "Universidad Industrial de Santander", "current"
"Anuario de investigaciones", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1686&lng=en", "Universidad de Buenos Aires. Facultad de Psicología", "deceased"
"Anuario de letras. Lingüística y filología", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-8224&lng=en", "UNAM, Instituto de Investigaciones Filológicas", "current"
"Anuario mexicano de derecho internacional", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-4654&lng=en", "UNAM, Instituto de Investigaciones Jurídicas", "current"
"Apertura (Guadalajara, Jal.)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-6180&lng=en", "Universidad de Guadalajara, Sistema de Universidad Virtual", "current"
"Apuntes", "http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=0252-1865&lng=en", "Universidad del Pacífico. Centro de Investigación", "current"
"Apuntes de investigación del CECYP", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-9814&lng=en", "Universidad de Buenos Aires. Facultad de Ciencias Sociales. Instituto de Investigaciones Gino Germani.", "current"
"Apuntes del Cenes", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-3053&lng=en", "Universidad Pedagógica y Tecnológica de Colombia (UPTC)", "current"
"Apuntes: Revista de Estudios sobre Patrimonio Cultural - Journal of Cultural Heritage Studies", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1657-9763&lng=en", "Pontificia Universidad Javeriana", "suspended"
"Aquichán", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1657-5997&lng=en", "Universidad de La Sabana", "current"
"Archives of Clinical Psychiatry (São Paulo)", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-6083&lng=en", "Faculdade de Medicina da Universidade de São Paulo", "current"
"Archives of Endocrinology and Metabolism", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2359-3997&lng=en", "Sociedade Brasileira de Endocrinologia e Metabologia", "current"
"Archivos argentinos de pediatría", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-0075&lng=en", "Sociedad Argentina de Pediatría", "current"
"Archivos de cardiología de México", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-9940&lng=en", "Elsevier", "current"
"Archivos de la Sociedad Española de Oftalmología", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0365-6691&lng=en", "Sociedad Española de Oftalmología", "suspended"
"Archivos de Medicina Interna", "http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=1688-423X&lng=en", "Sociedad de Medicina Interna del Uruguay", "deceased"
"Archivos de medicina veterinaria", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0301-732X&lng=en", "Facultad de Ciencias Veterinarias, Universidad Austral de Chile", "deceased"
"Archivos de neurociencias (México, D.F.)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-4705&lng=en", "Instituto Nacional de Neurología y Neurocirugía", "suspended"
"Archivos de Pediatría del Uruguay", "http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=1688-1249&lng=en", "Sociedad Uruguaya de Pediatría", "current"
