periódicos, scielo_url, publicador, status
"Engenharia Sanitaria e Ambiental", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-4152&lng=en", "Associação Brasileira de Engenharia Sanitária e Ambiental - ABES", "current"
"Enlace", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1690-7515&lng=en", "Universidad del Zulia", "suspended"
"Ensaio Pesquisa em Educação em Ciências (Belo Horizonte)", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1983-2117&lng=en", "Faculdade de Educação da Universidade Federal de Minas Gerais", "current"
"Ensaio: Avaliação e Políticas Públicas em Educação", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-4036&lng=en", "Fundação CESGRANRIO", "current"
"Ensayos sobre POLÍTICA ECONÓMICA", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-4483&lng=en", "Banco de la República", "current"
"Ensayos. Revista de economía", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-8402&lng=en", "Universidad Autónoma de Nuevo León, a través de la Facultad de Economía con la colaboración del Centro de Investigaciones Económicas", "current"
"Entomología y Vectores", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0328-0381&lng=en", "Editora Gama Filho", "deceased"
"Entramado", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1900-3803&lng=en", "Universidad Libre de Cali", "current"
"Entre Ciencia e Ingeniería", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1909-8367&lng=en", "Universidad Católica de Pereira", "current"
"Epidemiologia e Serviços de Saúde", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2237-9622&lng=en", "Secretaria de Vigilância em Saúde - Ministério da Saúde do Brasil", "current"
"EPISTEME", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0798-4324&lng=en", "INSTITUTO DE FILOSOFIA UCV", "suspended"
"Epistemo-somática", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1980-2005&lng=en", "Clínica de Psicologia e Psicanálise do Hospital Mater Dei", "suspended"
"Ernstia", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0252-8274&lng=en", "Universidad Central de Venezuela", "suspended"
"Escola Anna Nery", "http://revodonto.bvsalud.org/scielo.php?script=sci_serial&pid=1414-8145&lng=en", "Universidade Federal do Rio de Janeiro", "current"
"Escritos", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-1263&lng=en", "Universidad Pontificia Bolivariana", "current"
"Escritos de Psicología (Internet)", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1989-3809&lng=en", "Facultad de Psicología. Universidad de Málaga", "current"
"Escritos sobre Educação", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1677-9843&lng=en", "Fundação Helena Antipoff. Instituto Anísio Teixeira", "suspended"
"Espacios en blanco. Serie indagaciones", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1515-9485&lng=en", "Núcleo de Estudios Educacionales y Sociales; Facultad de Ciencias Humanas; Universidad Nacional del Centro de la Provincia de Buenos Aires", "current"
"Espiral (Guadalajara)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-0565&lng=en", "Universidad de Guadalajara, Centro Universitario de Ciencias Sociales y Humanidades", "current"
"Estilos da Clinica", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1415-7128&lng=en", "Instituto de Psicologia da Universidade de São Paulo", "current"
"Estudios - Centro de Estudios Avanzados. Universidad Nacional de Córdoba", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-1568&lng=en", "Centro de Estudios Avanzados, Universidad Nacional de Córdoba", "current"
"Estudios atacameños", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-1043&lng=en", "Universidad Católica del Norte. Instituto de Investigaciones Arqueológicas y Museo R. P. Gustavo Le Paige", "current"
"Estudios constitucionales", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-5200&lng=en", "Universidad de Talca. Centro de Estudios Constitucionales", "current"
"Estudios de Asia y África", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-654X&lng=en", "El Colegio de México A.C.", "current"
"Estudios de cultura maya", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-2574&lng=en", "UNAM, Instituto de Investigaciones Filológicas", "current"
"Estudios de cultura náhuatl", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0071-1675&lng=en", "Universidad Nacional Autónoma de México, Instituto de Investigaciones Históricas", "suspended"
"Estudios de economía", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-5286&lng=en", "Universidad de Chile. Departamento de Economía", "current"
"Estudios de Filosofía", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-3628&lng=en", "Instituto de Filosofía, Universidad de Antioquia.", "current"
"Estudios de filosofía práctica e historia de las ideas", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-9490&lng=en", "Instituto de Ciencias Sociales, Humanas y Ambientales, CRICYT, CONICET", "current"
"Estudios de historia de España", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2469-0961&lng=en", "Instituto de Historia de España. Facultad de Ciencias Sociales. Universidad Católica Argentina", "current"
"Estudios de historia moderna y contemporánea de México", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-2620&lng=en", "Instituto de Investigaciones Históricas, UNAM", "suspended"
"Estudios de historia novohispana", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-2523&lng=en", "Universidad Nacional Autónoma de México, Instituto de Investigaciones Históricas", "suspended"
"Estudios del trabajo", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2545-7756&lng=en", "Asociación Argentina de Especialistas en Estudios del Trabajo", "current"
"Estudios demográficos y urbanos", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0186-7210&lng=en", "El Colegio de México", "current"
"Estudios Económicos (México, D.F.)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0186-7202&lng=en", "El Colegio de México, A.C.", "current"
"Estudios filológicos", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0071-1713&lng=en", "Facultad de Filosofía y Humanidades de la Universidad Austral de Chile.", "current"
"Estudios fronterizos", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-6961&lng=en", "Universidad Autónoma de Baja California", "current"
"Estudios Gerenciales", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-5923&lng=en", "Universidad Icesi", "current"
"Estudios internacionales (Santiago)", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0719-3769&lng=en", "Instituto de Estudios Internacionales, Universidad de Chile", "current"
"Estudios pedagógicos (Valdivia)", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-0705&lng=en", "Universidad Austral de Chile. Facultad de Filosofía y Humanidades", "current"
"Estudios Políticos", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-5167&lng=en", "Universidad de Antioquia", "current"
"Estudios políticos (México)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-1616&lng=en", "Universidad Nacional Autónoma de México, Facultad de Ciencias Políticas y Sociales, Centro de Estudios Políticos", "current"
"Estudios sociales (Hermosillo, Son.)", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0188-4557&lng=en", "Centro de Investigación en Alimentación y Desarrollo, A. C.", "deceased"
"Estudios sociales. Revista de alimentación contemporánea y desarrollo regional", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2395-9169&lng=en", "Centro de Investigación en Alimentación y Desarrollo, A.C.", "current"
"Estudios Socio-Jurídicos", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0124-0579&lng=en", "Universidad del Rosario", "current"
"Estudios sociológicos", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-6442&lng=en", "El Colegio de México A.C.", "current"
"Estudios Socioterritoriales", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1853-4392&lng=en", "Centro de Investigaciones Geográficas CIG-Instituto de Geografía, Historia y Ciencias Sociales CIG-IGEHCS CONICET/UNCPBA", "current"
"Estudios y perspectivas en turismo", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1732&lng=en", "Centro de Investigaciones y Estudios Turísticos", "current"
"Estudos Afro-Asiáticos", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-546X&lng=en", "Universidade Cândido Mendes", "suspended"
"Estudos Avançados", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-4014&lng=en", "Instituto de Estudos Avançados da Universidade de São Paulo", "current"
"Estudos de Literatura Brasileira Contemporânea", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2316-4018&lng=en", "Grupo de Estudos em Literatura Brasileira Contemporânea", "current"
"Estudos de Psicanálise", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=0100-3437&lng=en", "Circulo Brasileiro de Psicanálise. Círculo Psicanalítico de Minas Gerais", "current"
"Estudos de Psicologia (Campinas)", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=0103-166X&lng=en", "PUC-Campinas", "current"
"Estudos de Psicologia (Natal)", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-294X&lng=en", "Programa de Pós-graduação em Psicologia e do Programa de Pós-graduação em Psicobiologia, Universidade Federal do Rio Grande do Norte", "suspended"
"Estudos e Pesquisas em Psicologia", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1808-4281&lng=en", "Universidade do Estado do Rio de Janeiro. Instituto de Psicologia", "current"
"Estudos Econômicos (São Paulo)", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-4161&lng=en", "Departamento de Economia", "current"
"Estudos Feministas", "http://socialsciences.scielo.org/scielo.php?script=sci_serial&pid=0104-026X&lng=en", "Centro de Filosofia e Ciências Humanas e Centro de Comunicação e Expressão da Universidade Federal de Santa Catarina", "current"
"Estudos Históricos (Rio de Janeiro)", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-2186&lng=en", "Centro de Pesquisa e Documentação de História Contemporânea do Brasil da Fundação Getúlio Vargas", "current"
"Estudos Interdisciplinares em Psicologia", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2236-6407&lng=en", "Universidade Estadual de Londrina", "current"
"Estudos Sociedade e Agricultura", "http://socialsciences.scielo.org/scielo.php?script=sci_serial&pid=1413-0580&lng=en", "Universidade Federal Rural do Rio de Janeiro", "current"
"Etnográfica", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0873-6561&lng=en", "Centro em Rede de Investigação em Antropologia - CRIA", "current"
"EURE (Santiago)", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0250-7161&lng=en", "Pontificia Universidad Católica de Chile. Facultad de Arquitectura, Diseño y Estudios Urbanos. Instituto de Estudios Urbanos y Territoriales", "current"
"Eureka (Asunción) en Línea", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=2220-9026&lng=en", "Universidad Católica de Asunción, Facultad de Filosofía y Ciencias Humanas", "current"
"Ex aequo", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0874-5560&lng=en", "Associação Portuguesa de Estudos sobre as Mulheres - APEM", "current"
"Faces de Eva. Estudos sobre a Mulher", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0874-6885&lng=en", "Grupo de Investigação Faces de Eva, Estudos sobre a Mulher da Faculdade de Ciências Sociais e Humanas da Universidade Nova de Lisboa", "current"
"Facultad de Ingeniería", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-1129&lng=en", "Universidad Pedagógica y Tecnológica de Colombia", "current"
"Família e Comunidade", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1806-6631&lng=en", "Pontifícia Universidade Católica de São Paulo", "deceased"
"Farmacia Hospitalaria", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1130-6343&lng=en", "Grupo Aula Médica", "current"
"Fave. Sección ciencias agrarias", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1666-7719&lng=en", "Universidad Nacional del Litoral. Facultad de Ciencias Agrarias", "current"
"FEM: Revista de la Fundación Educación Médica", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=2014-9832&lng=en", "Fundación Educación Médica y Viguera Editores, S.L.", "current"
"Fides et Ratio - Revista de Difusión cultural y científica de la Universidad La Salle en Bolivia", "http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=2071-081X&lng=en", "Universidad La Salle", "current"
"Finisterra - Revista Portuguesa de Geografia", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0430-5027&lng=en", "Centro de Estudos Geográficos", "current"
"Fisioterapia e Pesquisa", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1809-2950&lng=en", "Universidade de São Paulo", "current"
"Fisioterapia em Movimento", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-5150&lng=en", "Pontifícia Universidade Católica do Paraná", "current"
"Fitopatologia Brasileira", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-4158&lng=en", "Sociedade Brasileira de Fitopatologia", "deceased"
"Fitosanidad", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1562-3009&lng=en", "CIDISAV", "suspended"
"Floresta e Ambiente", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2179-8087&lng=en", "Instituto de Florestas da Universidade Federal Rural do Rio de Janeiro", "current"
"Folia Histórica del Nordeste", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=0325-8238&lng=en", "Instituto de Investigaciones Geohistóricas- Conicet", "current"
"Folios", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-4870&lng=en", "Universidad Pedagógica Nacional", "current"
"Food Science and Technology", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0101-2061&lng=en", "Sociedade Brasileira de Ciência e Tecnologia de Alimentos", "current"
"Forma y Función", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-338X&lng=en", "Universidad Nacional de Colombia.", "current"
"Formación universitaria", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-5006&lng=en", "Centro de Información Tecnológica", "current"
"Foro internacional", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-013X&lng=en", "El Colegio de México", "current"
"Fractal: Revista de Psicologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1984-0292&lng=en", "Universidade Federal Fluminense, Departamento de Psicologia", "current"
"Franciscanum. Revista de las Ciencias del Espíritu", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-1468&lng=en", "Universidad de San Buenaventura", "current"
"Frónesis", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1315-6268&lng=en", "Instituto de Filosofía del Derecho Dr. José M. Delgado Ocando Facultad de Ciencias Jurídicas y Políticas - Universidad del Zulia - Maracaibo - Venezuela.", "suspended"
"Frontera norte", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0187-7372&lng=en", "El Colegio de la Frontera Norte", "current"
"Fronteras de la Historia", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=2027-4688&lng=en", "Instituto Colombiano de Antropología e Historia", "current"
"Fundamina", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1021-545X&lng=en", "Southern African Society of Legal Historians and Unisa Press", "current"
"Gaceta Laboral", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=1315-8597&lng=en", "Publicación del", "suspended"
"Gaceta Médica Boliviana", "http://www.scielo.org.bo/scielo.php?script=sci_serial&pid=1012-2966&lng=en", "Facultad de Medicina de la Universidad Mayor de San Simón", "current"
"Gaceta Médica de Caracas", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0367-4762&lng=en", "ATEPROCA", "suspended"
"Gaceta médica de México", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0016-3813&lng=en", "Academia Nacional de Medicina de México, A.C.", "suspended"
"Gaceta Médica Espirituana", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1608-8921&lng=en", "Centro Provincial de Información de Ciencias Médicas de la Universidad de Ciencias Médicas Dr. Faustino Pérez Hernández Sancti Spíritus", "current"
"Gaceta Sanitaria", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=0213-9111&lng=en", "Ediciones Doyma, S.L.", "current"
"Galáxia (São Paulo)", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1982-2553&lng=en", "Programa de Estudos Pós-graduados em Comunicação e Semiótica - PUC-SP", "current"
"Gayana (Concepción)", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-6538&lng=en", "Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción", "current"
"Gayana. Botánica", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0717-6643&lng=en", "Facultad de Ciencias Naturales y Oceanográficas, Universidad de Concepción", "current"
"GE-Portuguese Journal of Gastroenterology", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=2341-4545&lng=en", "Sociedade Portuguesa de Gastrenterologia", "current"
"Gen", "http://www.scielo.org.ve/scielo.php?script=sci_serial&pid=0016-3503&lng=en", "Sociedad Venezolana de Gastroentereología", "current"
"Genetics and Molecular Biology", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1415-4757&lng=en", "Sociedade Brasileira de Genética", "current"
"Geoacta", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1852-7744&lng=en", "Asociación Argentina de Geofísicos y Geodestas", "current"
"Geofísica internacional", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0016-7169&lng=en", "Instituto de Geofísica, UNAM", "suspended"
"Gerais : Revista Interinstitucional de Psicologia", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1983-8220&lng=en", "Universidade Federal de São João del-Rei, Universidade Federal de Minas Gerais e Universidade Federal de Uberlândia.", "current"
"Gerokomos", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1134-928X&lng=en", "Sociedad Española de Enfermería Geriátrica y gerontológica", "current"
"Gestão & Produção", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-530X&lng=en", "Universidade Federal de São Carlos", "current"
"Gestión y política pública", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-1079&lng=en", "Centro de Investigación y Docencia Económicas, División de Administración Pública", "current"
"Ginecología y obstetricia de México", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0300-9041&lng=en", "Edición y Farmacia, S.A. de C.V.", "current"
"GOT, Revista de Geografia e Ordenamento do Território", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=2182-1267&lng=en", "Universidade do Porto - Faculdade de Letras", "current"
"Hacia la Promoción de la Salud", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-7577&lng=en", "Universidad de Caldas. Vicerrectoría de Investigaciones y Postgrados", "current"
"Hallazgos", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=1794-3841&lng=en", "Universidad Santo Tomás", "current"
"Health SA Gesondheid (Online)", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2071-9736&lng=en", "AOSIS Publishing on behalf of University of Johannesburg", "current"
"Hematology, Transfusion and Cell Therapy", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2531-1379&lng=en", "Associação Brasileira de Hematologia, Hemoterapia e Terapia Celular (ABHH)", "current"
"Hidrobiológica", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0188-8897&lng=en", "UAM, Unidad Iztapalapa,", "current"
"HiSTOReLo. Revista de Historia Regional y Local", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=2145-132X&lng=en", "Universidad Nacional de Colombia", "current"
"Historia", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0018-229X&lng=en", "Historical Association of South Africa", "current"
"Historia (Santiago)", "http://socialsciences.scielo.org/scielo.php?script=sci_serial&pid=0717-7194&lng=en", "Instituto de Historia de la Pontificia Universidad Católica de Chile", "current"
"História (São Paulo)", "http://socialsciences.scielo.org/scielo.php?script=sci_serial&pid=0101-9074&lng=en", "Revista História", "current"
"Historia Caribe", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0122-8803&lng=en", "Universidad del Atlántico", "current"
"Historia Crítica", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-1617&lng=en", "Departamento de Historia, Facultad de Ciencias Sociales, Universidad de los Andes", "current"
"História da Educação", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2236-3459&lng=en", "Associação Sul-Rio-Grandense de Pesquisadores em História da Educação", "current"
"Historia de la educación - anuario", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=2313-9277&lng=en", "Sociedad Argentina de Historia de la Educacion.", "current"
"Historia mexicana", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-6531&lng=en", "El Colegio de México, Centro de Estudios Históricos", "current"
"Historia y grafía", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-0927&lng=en", "Universidad Iberoamericana, Departamento de Historia", "suspended"
"Historia y MEMORIA", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=2027-5137&lng=en", "Universidad Pedagógica y Tecnológica de Colombia (UPTC)", "current"
"Historia y Sociedad", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-8417&lng=en", "Facultad de Ciencias Humanas y Económicas de la Universidad Nacional de Colombia, Sede Medellín", "current"
"História, Ciências, Saúde-Manguinhos", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0104-5970&lng=en", "Casa de Oswaldo Cruz, Fundação Oswaldo Cruz", "current"
"Hoehnea", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2236-8906&lng=en", "Instituto de Botânica", "current"
"Horizonte Médico", "http://www.scielo.org.pe/scielo.php?script=sci_serial&pid=1727-558X&lng=en", "Universidad de San Martín de Porres. Facultad de Medicina Humana", "current"
"Horizonte sanitario", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-7459&lng=en", "Universidad Juárez Autónoma de Tabasco, División Académica de Ciencias de la Salud", "current"
"Horizontes Antropológicos", "http://socialsciences.scielo.org/scielo.php?script=sci_serial&pid=0104-7183&lng=en", "Programa de Pós-graduação em Antropologia Social - IFCH-UFRGS", "current"
"Horticultura Brasileira", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0102-0536&lng=en", "Associação Brasileira de Horticultura", "current"
"How", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-5927&lng=en", "Asociación Colombiana de Profesores de Inglés", "current"
"HTS Theological Studies", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=0259-9422&lng=en", "Reformed Theological College of the Netherdutch Reformed Church of Africa at the Faculty of Theology of the University of Pretoria and Society for Practical Theology in South Africa", "current"
"Huitzil", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1870-7459&lng=en", "Sociedad para el Estudio y Conservación de las Aves en México, A.C. (CIPAMEX)", "current"
"Humanidades Médicas", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1727-8120&lng=en", "Centro para el Desarrollo de las Ciencias Sociales y Humanísticas en Salud", "current"
"Iatreia", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-0793&lng=en", "Universidad de Antioquia", "current"
"Ide", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=0101-3106&lng=en", "Sociedade Brasileira de Psicanálise de São Paulo", "current"
"Ideas y Valores", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-0062&lng=en", "Universidad Nacional de Colombia, Facultad de Ciencias Humanas, Departamento de Filosofía.", "current"
"Idesia (Arica)", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-3429&lng=en", "Universidad de Tarapacá. Facultad de Ciencias Agronómicas", "current"
"IE Revista de investigación educativa de la REDIECH", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2448-8550&lng=en", "Red de Investigadores Educativos Chihuahua, A.C.", "current"
"IGT na Rede", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1807-2526&lng=en", "Instituto de Gestalt-Terapia e Atendimento Familiar", "current"
"Iheringia. Série Zoologia", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0073-4721&lng=en", "Fundação Zoobotânica do Rio Grande do Sul", "current"
"Íkala, Revista de Lenguaje y Cultura", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-3432&lng=en", "Escuela de Idiomas, Universidad de Antioquia", "current"
"Ilha do Desterro", "http://www.scielo.br/scielo.php?script=sci_serial&pid=2175-8026&lng=en", "Universidade Federal de Santa Catarina", "current"
"Imaginário", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1413-666X&lng=en", "Laboratório de Estudos do Imaginário do Instituto de Psicologia da Universidade de São Paulo", "deceased"
"In die Skriflig", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=2305-0853&lng=en", "Reformed Theological Society", "current"
"Index de Enfermería", "http://scielo.isciii.es/scielo.php?script=sci_serial&pid=1132-1296&lng=en", "Fundación Index", "current"
"Indo-Pacific Journal of Phenomenology", "http://www.scielo.org.za/scielo.php?script=sci_serial&pid=1445-7377&lng=en", "National Inquiry Services Centre (NISC) (Pty) Ltd.", "current"
"Infectio", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0123-9392&lng=en", "Asociación Colombiana de Infectología.", "current"
"Información tecnológica", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-0764&lng=en", "Centro de Información Tecnológica", "current"
"Información, cultura y sociedad", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-1740&lng=en", "Instituto de Investigaciones Bibliotecológicas (INIBI), Facultad de Filosofía y Letras, Universidad de Buenos Aires.", "current"
"Infraestructura Vial", "http://www.scielo.sa.cr/scielo.php?script=sci_serial&pid=2215-3705&lng=en", "Universidad de Costa Rica, Laboratorio Nacional de Materiales y Modelos Estructurales", "current"
"Ingeniare. Revista chilena de ingeniería", "http://www.scielo.cl/scielo.php?script=sci_serial&pid=0718-3305&lng=en", "Universidad de Tarapacá.", "current"
"Ingeniería", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0121-750X&lng=en", "Universidad Distrital Francisco José de Caldas", "current"
"Ingeniería e Investigación", "http://www.scielo.org.co/scielo.php?script=sci_serial&pid=0120-5609&lng=en", "Facultad de Ingeniería, Universidad Nacional de Colombia.", "current"
"Ingeniería Electrónica, Automática y Comunicaciones", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1815-5928&lng=en", "Universidad Tecnológica de La Habana José Antonio Echeverría, Cujae", "current"
"Ingeniería Energética", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1815-5901&lng=en", "Instituto Superior Politécnico José A. Echeverría.Cujae", "current"
"Ingeniería Hidráulica y Ambiental", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1680-0338&lng=en", "Instituto Superior Politécnico José A. Echeverría. Cujae", "current"
"Ingeniería Industrial", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1815-5936&lng=en", "Facultad de Ingeniería Industrial, Instituto Superior Politécnico José Antonio Echeverría, Cujae.", "current"
"Ingeniería Mecánica", "http://scielo.sld.cu/scielo.php?script=sci_serial&pid=1815-5944&lng=en", "Facultad de Ingeniería Mecánica. Instituto Superior Politécnico José Antonio Echeverría", "current"
"Ingeniería mecánica, tecnología y desarrollo", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1665-7381&lng=en", "Sociedad Mexicana de Ingeniería Mecánica", "suspended"
"Ingeniería sísmica", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-092X&lng=en", "Sociedad Mexicana de Ingeniería Sísmica A.C.", "current"
