periódicos, scielo_url, publicador, status
"Botanical Sciences", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=2007-4298&lng=en", "Sociedad Botánica de México A.C.", "suspended"
"Brazilian Journal of Botany", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-8404&lng=en", "Sociedade Botânica de São Paulo", "suspended"
"Brazilian Journal of Genetics", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-8455&lng=en", "Sociedade Brasileira de Genética", "deceased"
"Brazilian Journal of Oral Sciences", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1677-3225&lng=en", "Faculdade de Odontologia de Piracicaba - UNICAMP", "suspended"
"Brazilian Journal of Physical Therapy", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-3555&lng=en", "Associação Brasileira de Pesquisa e Pós-Graduação em Fisioterapia", "suspended"
"Brazilian Journal of Physics", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0103-9733&lng=en", "Sociedade Brasileira de Física", "suspended"
"Brazilian Journal of Plant Physiology", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1677-0420&lng=en", "Brazilian Journal of Plant Physiology", "deceased"
"Brazilian Journal of Veterinary Research and Animal Science", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-9596&lng=en", "Faculdade de Medicina Veterinária e Zootecnia / Universidade de São Paulo", "suspended"
"Bulletin of the World Health Organization", "http://www.scielosp.org/scielo.php?script=sci_serial&pid=0042-9686&lng=en", "World Health Organization", "suspended"
"Caderno de Estudos", "http://www.scielo.br/scielo.php?script=sci_serial&pid=1413-9251&lng=en", "Fundação Instituto de Pesquisas Contábeis, Atuariais e Financeiras", "deceased"
"Cadernos de Psicopedagogia", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1676-1049&lng=en", "UNIFIEO", "suspended"
"Ciclos en la historia, la economía y la sociedad", "http://www.scielo.org.ar/scielo.php?script=sci_serial&pid=1851-3735&lng=en", "Fundación de Investigaciones Históricas, Económicas y Sociales", "deceased"
"Ciência & Tecnologia dos Materiais", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0870-8312&lng=en", "Sociedade Portuguesa de Materiais", "suspended"
"Ciência da Informação", "http://www.scielo.br/scielo.php?script=sci_serial&pid=0100-1965&lng=en", "IBICT", "suspended"
"Ciência e Técnica Vitivinícola", "http://www.scielo.mec.pt/scielo.php?script=sci_serial&pid=0254-0223&lng=en", "INIAV - DOIS PORTOS (Ex-Estação Vitivinícola Nacional)", "suspended"
"Ciencia forestal en México", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-3586&lng=en", "Instituto Nacional de Investigaciones Forestales, Agrícolas y Pecuarias", "deceased"
"Ciencias marinas", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=0185-3880&lng=en", "Universidad Autónoma de Baja California, Instituto de Investigaciones Oceanológicas", "suspended"
"Ciencias Psicológicas", "http://pepsic.bvsalud.org/scielo.php?script=sci_serial&pid=1688-4094&lng=en", "Facultad de Psicología de la Universidad Católica del Uruguay, Damaso A. Larrañaga", "suspended"
"Cirujano general", "http://www.scielo.org.mx/scielo.php?script=sci_serial&pid=1405-0099&lng=en", "Asociación Mexicana de Cirugía General A.C.", "suspended"
"CLEI Electronic Journal", "http://www.scielo.edu.uy/scielo.php?script=sci_serial&pid=0717-5000&lng=en", "Centro Latinoamericano de Estudios en Informática", "deceased"
